date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:18:38	138954/138954	---M--	200	added ('OK')	application/pdf	etag:%2221eca-41b3e6d81fb80%22	http://www.normalesup.org/~sage/Colles/AnalRC1/Continui.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AnalRC1/Continui.pdf	(from http://www.normalesup.org/~sage/Colles/AnalRC1/index.html)
22:18:49	126926/126926	---M--	200	added ('OK')	application/pdf	etag:%221efce-41a538f710880%22	http://www.normalesup.org/~sage/Colles/AnalRC1/FoncConv.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AnalRC1/FoncConv.pdf	(from http://www.normalesup.org/~sage/Colles/AnalRC1/index.html)
22:18:53	109740/109740	---M--	200	added ('OK')	application/pdf	etag:%221acac-41b8d695ec5c0%22	http://www.normalesup.org/~sage/Colles/AnalRC1/Inegalit.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AnalRC1/Inegalit.pdf	(from http://www.normalesup.org/~sage/Colles/AnalRC1/index.html)
22:19:00	137875/137875	---M--	200	added ('OK')	application/pdf	etag:%2221a93-41c07eac57300%22	http://www.normalesup.org/~sage/Colles/AnalRC2/Integrat.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AnalRC2/Integrat.pdf	(from http://www.normalesup.org/~sage/Colles/AnalRC2/index.html)
22:19:01	234974/234974	---M--	200	added ('OK')	application/pdf	etag:%22395de-4546f638b01c0%22	http://www.normalesup.org/~sage/Colles/AnalRC1/Derivati.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AnalRC1/Derivati.pdf	(from http://www.normalesup.org/~sage/Colles/AnalRC1/index.html)
22:19:10	108519/108519	---M--	200	added ('OK')	application/pdf	etag:%221a7e7-41e619ddcd900%22	http://www.normalesup.org/~sage/Colles/AnalRC2/Series.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AnalRC2/Series.pdf	(from http://www.normalesup.org/~sage/Colles/AnalRC2/index.html)
22:19:21	196545/196545	---M--	200	added ('OK')	application/pdf	etag:%222ffc1-4543a06dfa8c0%22	http://www.normalesup.org/~sage/Colles/AnalRC2/DLs.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AnalRC2/DLs.pdf	(from http://www.normalesup.org/~sage/Colles/AnalRC2/index.html)
22:19:22	134824/134824	---M--	200	added ('OK')	application/pdf	etag:%2220ea8-41b915c43d5c0%22	http://www.normalesup.org/~sage/Colles/AnalRC2/IntegGen.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AnalRC2/IntegGen.pdf	(from http://www.normalesup.org/~sage/Colles/AnalRC2/index.html)
22:19:28	170854/170854	---M--	200	added ('OK')	application/pdf	etag:%2229b66-42469db39b1c0%22	http://www.normalesup.org/~sage/Colles/AnalVectFonc/Evn.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AnalVectFonc/Evn.pdf	(from http://www.normalesup.org/~sage/Colles/AnalVectFonc/index.html)
22:19:38	170172/170172	---M--	200	added ('OK')	application/pdf	etag:%22298bc-4213fc4aa6440%22	http://www.normalesup.org/~sage/Colles/AnalVectFonc/Banach.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AnalVectFonc/Banach.pdf	(from http://www.normalesup.org/~sage/Colles/AnalVectFonc/index.html)
